"corpus_id","doi","mag_id","title","publication_year","citation_count","abstract","query_set"
"106566714","null","656351433","Freight Transportation and Greenhouse Gases in North America","2011","0","This paper summarizes a larger study that was carried out for the Commission for Environmental Cooperation (CEC) which resulted in the “Foundation Paper” part of a larger report by the CEC under Article 13 of the North American Agreement on Environmental Cooperation “Towards Sustainable Freight Transportation in North America.” The objectives of the Foundation Paper, presented here in summary, were to provide a synopsis of the freight transportation system in North America as it relates to greenhouse gas (GHG) emissions; investigate the state-of-the-practice in measurement/estimation of GHGs from truck and freight rail modes; examine the spectrum of available truck and rail GHG mitigation strategies; review federal, regional, state, and local programs and policies enacted to mitigate GHGs; and develop a group of short- and long-term opportunity areas for action by the North American governments to curb the growth of GHG emissions from truck and rail. The study concluded that a coherent combination of policies consisting of subsidies, regulation, and emissions pricing is the most promising approach toward mitigation of GHGs from truck and freight rail transportation. Multiple opportunity areas were identified: more rigorous public investment, freight-specific GHG regulation, dynamic cooperation with the private sector, improvement in technology transfer and technical expertise, development of alternative energy sources, and potentially emissions and carbon pricing mechanisms.","[""abstract""]"
"106708396","10.5860/choice.50-3960","601504063","The Carbon Crunch: How We're Getting Climate Change Wrong--and How to Fix It","2012","67","Despite commitments to renewable energy and two decades of international negotiations, global emissions continue to rise. Coal, the most damaging of all fossil fuels, has actually risen from 25 per cent to almost 30 per cent of world energy use. And while European countries have congratulated themselves on reducing emissions, they have increased their carbon imports from China and other developing nations, who continue to expand their coal use. As standards of living increase in developing countries, coal use can only increase as well - and global temperatures along with it. In this hard-hitting book, Dieter Helm looks at how and why we have failed to tackle the issue of global warming and argues for a new, pragmatic rethinking of energy policy - from transitioning from coal to gas and eventually to electrification of transport, to carbon pricing and a focus on new technologies. Lucid, compelling and rigorously researched, this book will have a lasting impact on how we think about climate change.","[""abstract""]"
"106876239","10.13140/RG.2.2.30486.34882","579132800","Simulating the use of biomass in electricity with the green electricity simulate model: An application to the French power generation","2015","3","This paper presents the version 1.0 of the Green Electricity Simulate (GES), which is a simulation model that has been designed to investigate questions related to biomass-based electricity in the European countries, with a special focus on the biomass co-firing in coal plants. We extend previous works in essentially three directions. We provide the first simulation model for electricity taking into account co-firing with a wide range of induced effects. Second, we analyze the impact of co-firing on decisions about prolongation or decommissioning of out-of-lifetime coal plants. Finally, we investigate the consequences of recognizing co-firing as a contribution to achieve the Renewable Energy Source (RES) objectives in power generation. As an illustration, we apply the model to the French power sector. Overall, the results indicate that the biomass demand from co-firing is much greater than that from dedicated biomass units, and that co-firing can heavily influence the composition of the fleet under certain circumstances and policy arrangements. In addition, we show that increasing the carbon price generates a move towards quality that induces consuming more high-quality biomass (e.g. wood pellets or torrefied pellets). We also identify that co-firing may encourage to prolonging coal plants that would be decommissioned otherwise. Finally, we find that recognizing the biomass part of co-firing as a renewable may lead to maintaining a high share of coal in the power mix, which may be a concern for social acceptability in the long run.","[""abstract""]"
"107089599","null","975769574","Cold start for the green innovation machine. Bruegel Policy Contribution 2009/12, November 23, 2009","2009","35","This Policy Contribution accompanies the Policy Brief, ""No Green Growth Without Innovation"". Written by Senior Non-Resident Fellow Philippe Aghion, Senior Resident Fellow Reinhilde Veugelers and Researcher Clement Serre, this paper discusses the state of green innovation and goes into more depth in discussing the current problems in the area. Examining research and development, patent, and venture capital data, the authors point out that there is momentum for private investment in green technologies. However, they argue that, thus far, the implicit tax rate on energy in the EU27 is too low and fragmented, the carbon price in the EU Emissions Trading System is too volatile, and the public R&D expenditures dedicated to energy and environment are too low. They conclude that immediate state intervention is necessary, at least at the onset, to ensure that the 'green innovation machine' gets properly started.","[""abstract""]"
"107148219","null","836831692","Reducing carbon emissions at the City of Darwin : an evaluation of battery electric vehicles","2012","0","The introduction of the Australian Government’s Clean Energy Future Legislation 2011 coupled with community expectation is placing pressure on councils liable under the carbon pricing mechanism (such as the City of Darwin) to reduce its carbon footprint. One carbon mitigation option is to replace fossil-fuel powered passenger fleet vehicles with battery electric vehicles. This thesis makes a contribution to understanding the challenges associated with implementing this activity in the City of Darwin’s fleet, and does so from a triple bottom line (financial, environmental and social) perspective. A possible implementation scenario is outlined which includes a three phase program, where the initial phase includes the purchase of a Mitsubishi i-MiEV as an additional fleet vehicle. The second phase suggests procuring three electric vehicles (Nissan Leaf x two and Renault Fluence Z.E.) as a trial. The third phase is a gradual battery electric vehicle roll-out across the passenger fleet. The research reported in this thesis applies three complementary program planning tools (program logic models, the Cynefin Framework and community-based social marketing theory) to the implementation scenario. It is shown that they are methodologically complementary and in combination, could be used to increase the likelihood of success of the implementation scenario. This thesis shows replacing existing fleet passenger vehicles with battery electric vehicles will reduce City of Darwin’s carbon footprint while using program planning tools will increase the likelihood of success of vehicle replacement, both from a planning, management and staff behaviour change perspective.","[""abstract""]"
"107381682","null","192237764","Green building scheme review adds yet more policy uncertainty","2014","0","Australia's policies to cut greenhouse emissions have been shrouded in uncertainty over the past few months. The contentious Renewable Energy Target review and the swapping of the carbon price for Direct Action have garnered most of the headlines. But another policy, which has quietly been cutting emissions for the past four years, is now also under scrutiny. Disciplines Engineering | Science and Technology Studies Publication Details Daly, D. & Cooper, P. (2014). Green building scheme review adds yet more policy uncertainty. The Conversation, 13 November 1-3. This journal article is available at Research Online: http://ro.uow.edu.au/eispapers/3125","[""abstract""]"
"107591945","10.1108/S1871-317320140000009001","100444045","Air travelers' carbon offsetting behavior: an experimental study","2014","2","Abstract 
Following the hierarchical model of human behavior of Fulton, Manfredo, and Lipscomb (1996), this chapter develops and tests a model incorporating both general and behavior-specific components of motivation. The research aimed to investigate how general and behavior-specific attitudes work together in explaining air travelers’ carbon offsetting behavior. The study is an experimental study that applied confirmatory factor analysis using structural equation models to better understand the motivational factors that influence aviation carbon offsetting behavior. The sample includes 349 staff and students of the University of Queensland. Based on an established hierarchical model of human behavior, the new ecological paradigm (NEP) scale and the theory of planned behavior work together to explicate general and specific attitudes, respectively. The effect from NEP to offsetting intention was partially mediated by three intermediate motivations: awareness of climate impacts of air traveling, perceived effectiveness of carbon offsets in mitigating carbon emissions, and support for a carbon tax. In particular, general support for the carbon price policy showed a complementary relationship with voluntary action.","[""abstract""]"
"107593069","null","41934459","Carbon Leakage: Options for the EU. CEPS Special Report, March 2014","2014","1","This CEPS Special Report builds on the first deliverable of the project entitled “Carbon leakage: Options for the EU”. It identifies carbon costs, and the ability to pass through carbon costs, as the main risk factors that could lead from asymmetrical carbon policies to carbon leakage. It also outlines and evaluates, based on criteria discussed in the paper, options for detecting and mitigating the risk of carbon leakage in three jurisdictions, with special attention to the EU ETS (Emissions Trading Scheme). 
 
Based on the analysis of approaches currently used in a number of existing carbon pricing systems, it identifies the balance between the number of sectors identified as being at risk, and the amount of compensation provided as a risk mitigation measure, as the critical element in providing an optimum approach to address carbon leakage risks. It also identifies a risk-based approach to identifying sectors at risk as allowing for a better reflection of reality in a counterfactual argument. Finally, the paper concludes that while, with some exceptions, there has been limited carbon leakage until now, the past may not be a good reflection of the future and that measures need to be put in place for the post-2020 period. 
 
While examining a number of approaches, it identifies free allocation as the most likely way forward for mitigating the risk of carbon leakage. While other approaches may provide interesting options, they also present challenges for implementation, from a market functioning, to international trade and relations, points of view. A number of challenges will need to be addressed in the post-2020 period, with many of them part of the EU ETS structural reform package. Some of these challenges include, among others, the need to recognise, and provide for individual sectoral characteristics, as well as for changes in production patterns, due to economic cycles, and other factors. Finally, the paper emphasises the need for an open dialogue regarding the post-2020 provisions for carbon leakage as no overall Energy and Climate Package is likely to be agreed on until this matter is addressed.","[""abstract""]"
"107625351","null","19639663","Three essays on the effect of wind generation on power system planning and operations","2013","2","Davis, Clay D. Ph.D., Purdue University, May 2013. Three Essays on the Effect of Wind Generation on Power System Planning and Operations. Major Professor: Paul V. Preckel. In a report titled “20% Wind Energy by 2030” the United States Department of Energy assembled a group to assess the likely effects of wind generation providing 20% of electricity consumption by 2030 (DOE, 2008). While the benefits of wind generation are well known, some drawbacks are still being understood as wind power is integrated into the power grid at increasing levels. The primary difference between wind generation and other forms of generation is the intermittent, and somewhat unpredictable, aspect of this resource. The somewhat uncontrollable aspect of wind generation makes it important to consider the relationship between this resource and load, and also how the operation of other non-wind generation resources may be affected. The three essays that comprise this dissertation focus on these and other important issues related to wind generation; leading to an improved understanding of how to better plan for and utilize this resource. The first essay addresses the cost of increased levels of installed wind capacity from both a capacity planning and economic dispatch perspective to arrive at the total system cost of installing a unit of wind capacity. This total includes not only the cost of the wind turbine and associated infrastructure, but also the cost impact an additional unit of wind capacity has on the optimal mix and operation of other generating units in the electricity supply portfolio. The results of the model showed that for all wind expansion scenarios, wind capacity is not cost-effective regardless of the level of the wind production tax credit and carbon prices that were considered. Larger levels of installed wind capacity result in reduced variable cost, but this reduction is not able to offset","[""abstract""]"
"107668887","null","570449036","Decision Making Based on Comparative Assessment of Transport Technologies","2011","0","The aim of the paper is to assess energy technologies in the transport sector based on future carbon price development and to indicate the most competitive transport technologies taking into account international post-Kyoto climate change mitigation policies impact. The main tasks of the paper are: to develop the framework for comparative assessment of energy technologies in transport based on future carbon prices imposed on the economy by international post-Kyoto climate change mitigation regimes. The assessment framework allows comparing transport technologies in terms of their environmental and economic impacts and facilitates the decision making process in the transport sector. The main indicators selected for technologies assessment are: private costs and external costs of greenhouse gas (GHG) emissions. The ranking of transport technologies based on total social costs allows one to identify the most prospective technologies in the future taking into account international climate change mitigation constraints and to promote these technologies by policy tools including subsidies for research and development in this field. However the extent, capacity, and quality of road infrastructure affects the overall level of transportation activity, which in turn affects how much energy is consumed by vehicles and the amount of GHG emitted. The paper presents the impact of transportation infrastructure on GHG emissions from road vehicles. The main results presented in this paper were obtained during European Union (EU) financed Framework 7 project “PLANETS” dealing with probabilistic long-term assessment of new energy technology scenarios.","[""abstract""]"
"107930138","10.4225/50/555BD214CEE70","433464120","Tracking progress towards a low carbon economy","2013","10","This research shows Australia has made significant progress towards reducing greenhouse gas emissions and building a low carbon economy. Tracking Progress is the first whole-of-economy report on Australia’s progress in reducing emissions. It covers key sectors – Power, Industry, Buildings, Land-use and Waste, as well as a Special Report on factors affecting energy efficiency activity for 47 large industrial companies that account for 70 per cent of Australia’s industrial energy use. A series of reports providing key findings of the research have been released. The full reports - and their corresponding summary reports - are available for download on the right hand side of this page. The reports include: NATIONAL PROGRESS REPORT ClimateWorks research has found an increase in activity to improve energy efficiency and reduce greenhouse gas emissions in the last decade across all sectors of the economy studied. This was led by reduced deforestation and an increase in plantation forests, significant increases in industry energy efficiency and more recently sharp reductions in power emissions. Over the next decade, Australia’s emissions reductions would be led by reductions in power emissions intensity and continued energy efficiency in industry and buildings. From 2002-03 to 2011-12, there has been no growth in greenhouse gas emissions despite an increase in economic growth of 31 per cent over the same period. The research showed that if recent trends are sustained, Australia would achieve over 40 per cent of the minimum 5 per cent national emissions reduction target by 2020 through domestic abatement alone. POWER The Power Report shows the emissions intensity of Australia’s grid-supplied electricity generation decreased by 8 per cent from 2008-09 to 2012-13 with strong reductions in coal generation. Total emissions have decreased by 13 per cent over the same period. Looking forward to 2020, there is a strong pipeline of renewable energy projects and a slow down of the energy demand growth trend. This could deliver 32 per cent of the available emissions reduction potential in this sector as identified in the Low Carbon Growth Plan for Australia. INDUSTRY The Industry Report shows industrial process emissions have been substantially reduced, industrial energy efficiency has tripled compared to historic levels, and there has been more self-generation of electricity using gas. This has led to an estimated 10 per cent improvement in industrial emissions intensity, which has been offset by large increases in production. If recent trends in the improvement of industrial emissions intensity continue, this would offset a portion of the strong expected growth in emissions that could result from increasing industrial production. The current trend would deliver 57 per cent of available emissions reduction potential in this sector. BUILDINGS The Buildings Report shows the energy intensity of Australia’s buildings has decreased by 3 per cent between 2002-03 and 2010-11, led by improvements in the operation of buildings, improved energy efficiency standards, more efficient appliances and distributed energy. However, these improvements have been offset by additional buildings and increased use of electricity by electronics in homes. Despite strong growth in the number of homes and commercial buildings over the next decade, a continuation of recent trends in emissions reduction activities would drive a further reduction in buildings emissions. The current trend would deliver 30 per cent of the available emissions reduction potential in this sector. LAND-USE & WASTE The Land-Use & Waste Report shows the annual area deforested has halved since 2003 and the total area of plantations has increased by 21 per cent over the decade. These emissions reductions have completely offset growth in all other sectors since 2002-03. However, over the next decade, emissions from land-use are likely to increase substantially as plantation forests are harvested and not replanted and there are no further reductions in deforestation. Emissions reduction activity is expected to be limited to 8 per cent of the total identified potential. Most of the potential for future activity to reduce emissions from land-use and waste activities is dependent on certainty of future revenues from government initiatives. SPECIAL REPORT The Special Report on factors influencing large industrial energy efficiency involved in-depth interviews with 47 large industrial companies that account for 70 per cent of Australia’s industrial energy use. The report found that rising fuel prices, the carbon price, the Australian Government’s Energy Efficiency Opportunities (EEO) program and organisational changes have been the main reported drivers leading respondents to increase their energy efficiency activity in recent years. It also found that respondents with better internal practices in certain key areas demonstrate higher implementation of energy efficiency activity.","[""abstract""]"
"108020221","null","570860632","The Evaluation of UK Transport Policy aiming at Reducing Greenhouse Gas Emissions","2007","0","The UK Climate Change Programme published in 2000 included measures aimed at reducing transport sector emissions in 2010 by 24-30 MtCO2. Projected savings from some of those measures have been revised down since 2000 and the evidence behind this will be presented. Nevertheless existing transport policies, as set out on the 2006 UK Climate Change Programme are expected to mean that emissions from the sector will be 15% lower in 2010 than if the programme had not been put in place. More recently the 2007 Energy White Paper has set out further plans to reduce emissions, characterised according to the three-way policy framework of the Stern Review: carbon pricing, technology policy, and behavioural change. Evidence from existing evaluations and plans for evaluation going forward will be considered. For many transport schemes evaluation is currently carried out at local authority level. Generation of information to provide wider lessons is an issue but may be helped by recently developed DfT guidance. At the national level, the monitoring and reporting of emissions against Public Service Agreement targets, and associated indicators, will also be presented. For the covering abstract see ITRD E139491.","[""abstract""]"
"108116371","null","570493452","Rail and climate change: a scoping paper","2008","3","The aims of the project are to understand the preconditions for a substantial modal shift and upgrading of Australian rail transport, in the context of high global fuel prices and a carbon price; to estimate the economic, social and environmental benefits arising from these two changes, and the net costs and benefits; and to assess the policy options and the corporate responses required for these changes to occur. This scoping paper is intended to identify some of the main issues that need to be addressed in the broader research process, and to provide some indication of how they might be approached. In the first section, a number of key issues, propositions and questions related to the overall task are noted and briefly discussed. The second section highlights a key issue, namely the justification for complementary policies in conjunction with an emissions trading scheme. The third section briefly discusses the long term options for the role of an efficient, modernised rail industry within Australia's response, and what might be required to test the viability of those options. Finally, the concluding section outlines the process proposed for the full project.","[""abstract""]"
"108232891","null","251657606","Analyzing technological change in low carbon power generation","2009","1","In order to mitigate climate change while satisfying the growing global electricity demand, technological change within the power generating system is crucial. New low carbon technologies need to replace the current more carbon-intensive options. Promoting this change – at the necessary pace – requires policy instruments; creating efficient policy instruments requires a comprehensive understanding of the dynamics of technological change and current trends. 
 
This four-paper thesis addresses the development, deployment, and diffusion of low carbon power generating technologies. The purpose is to better understand the drivers behind technological change, to explore current trends and assess future developments, and to consider the range of impacts of policy instruments in this context. Paper I uses experience curves to analyze the historical development of a technology expected to play a prominent role in future power generating systems, the combined cycle gas turbine. The results indicate that the rapid price decrease observed at the time rather reflected a temporary market behavior than an underlying production cost decrease. Analysis of other factors, e.g., technical performance improvements is an important complement to economic improvement analysis. Paper II investigates the deployment and diffusion of CO2-efficient power generating technologies in developed and developing countries. The results demonstrate that historical CO2-efficiencies tend to converge globally toward more efficient technologies. This suggests that if developments of new low carbon technologies are induced by, e.g., imposing stringent CO2 constraints on developed countries, these technologies will likely diffuse to regions with less stringent climate policies, e.g., developing countries, leading to additional CO2 reductions. Paper III explores the implications of international carbon emission trading for the development and deployment of advanced power generating technologies. A cost-optimization energy system model is applied using experience curves to endogenously model technological change. The results indicate that in general inter-regional trading provides stronger incentives for improvements in fossil-based technologies than for deploying advanced renewable technologies. However, technological change is mainly influenced by the level of future emission limits and by whether these levels are known well in advance. The results also stress the importance of early markets for new technologies, as early investments may significantly influence future technology trajectories. Paper IV analyzes a potential early market for the emerging renewable energy technology, biomass integrated gasification combined cycle (BIGCC). Data from a plausible reference market, the Indian sugarcane industry, is used in the analysis applying experience curves in future cost development modeling. The results indicate a large potential for cost reductions, if learning opportunities are provided, but additional financial support is required to make the technology commercially viable. The Clean Development Mechanism (CDM), using a project-by-project approach and at current carbon price levels, is likely to be sufficient to induce investments in the BIGCC technology to promote deployment and diffusion only once other measures have provided the initial support to create markets.","[""abstract""]"
"108539575","null","1585214259","Air trade : promises -- and pitfalls -- in the coming carbon market","2008","0","Market mechanisms for controlling pollution and other environmental problems, once considered experimental, have recently become favored tools for regulation, both in the U.S. and abroad. In the last several years, a $64 billion global market for carbon dioxide permits and offsets has emerged out of international dealmaking on climate change. The carbon market has become a force to be reckoned with in international trade, and created many stakeholders with vested interests in the design of the market and its governing regulations. Driven by the international finance community and clamor from the general public for action on global warming, U.S. legislators are under increasing pressure to adopt similar measures. And as action by the U.S. seems more likely, industries that would likely be targeted by climate change legislation are becoming less obstructionist, increasingly seeking influence over the direction of regulation rather than attempting to block it altogether. Given current trends in business, finance and politics, it is likely that in the near future, the U.S. will adopt carbon pricing as a means to decrease carbon emissions and attempt to halt the progress of climate change. However, with so many stakeholders in the debate, designing the market will be a contentious and highly politicized process. Because of both scientific uncertainty and political factors, there is great potential for market failures, from miscounted emissions to perverse incentives to social inequity. This thesis examines some of the market designs that have been proposed, along with reasons why the carbon market is likely to fail to live up to its greatest promise. Thesis Supervisor: Thomas Levenson Title: Associate Professor of Science Writing ""Economic science is chiefly valuable, neither as an intellectual gymnastics nor even as a means of winning truth for its own sake, but as a handmaid of ethics and a servant of","[""abstract""]"
"108851529","10.2139/ssrn.2398267","1540450444","Optimal Forest Management When Logging Damages and Costs Differ between Logging Practices","2014","2","Papers on optimal harvesting regimes for maximizing land expectation value (LEV) that compare different logging practices often ignore differences in variable costs and in damages on the residual stand between logging practices. We use data on a multi-age, multi-species forest in East-Kalimantan to study optimal harvest regimes for Conventional Logging (CL) and for Reduced Impact Logging (RIL). We simulate a range of carbon prices with compensation for additional carbon stored under sustainable forest management (RIL). According to our detailed data, RIL has higher fixed costs but lower variable costs than CL, and leads to less damages on the residual stand. We show that when these differences are taken into account, RIL leads to highest LEV for low to intermediate carbon prices, while for high carbon prices conventional logging is preferred. Conventional logging, however, does not qualify for carbon payments. Furthermore, we show that ignoring damages in the model leads to vast overestimations of LEV and large underestimations of optimal cutting cycles for all carbon prices, and to a different choice of logging practice for low and high carbon prices. Ignoring differences in variable costs between CL and RIL leads to small overestimations of LEV for low carbon prices and small underestimations of LEV for high carbon prices, with small to zero differences in optimal cutting cycles.","[""abstract""]"
"109017259","10.4028/www.scientific.net/AMM.590.683","1987238956","Application of Radial Basis Function Neural Network for Carbon Price Forecasting","2014","9","This paper proposes a carbon price forecasting system for the participants to quickly and accurately predict the carbon price. The data including the carbon trading price, oil price, coal price and gas price, are first calculated and the data clusters are embedded in the Excel Database by year and season. The Radial Basis Function Neural Network (RBFNN) is constructed in the searching process. The optimal parameters obtained from the RBFNN enable the learning rate parameters to regulate and improve the predicting errors during the training process, enhancing the accuracy and reliability of predictions. By linking the RBFNN and Excel Database, the training stages of the RBFNN retrieve the input data from the Excel Database so that the efficiency and accuracy of the predicting system can be analyzed. Simulation results in this paper will provide an accurate and real-time method for participants to forecast carbon price and raise the market competition in a carbon trading market.","[""abstract"",""title""]"
