publication_year,null_doi,null_title,short_title,null_abstract,short_abstract,corpus_ids
1955,t,f,f,f,t,6
1955,t,f,f,t,,52248
1955,t,f,t,f,f,3
1955,t,f,t,t,,11
1956,f,f,f,f,f,13373
1956,f,f,f,f,t,22
1956,f,f,f,t,,35726
1956,f,f,t,f,f,11
1956,f,f,t,t,,21
1956,t,f,f,f,f,2738
1956,t,f,f,f,t,6
1956,t,f,f,t,,51814
1956,t,f,t,t,,10
1957,f,f,f,f,f,14505
1957,f,f,f,f,t,14
1957,f,f,f,t,,36813
1957,f,f,t,f,f,10
1957,f,f,t,t,,18
1957,t,f,f,f,f,3585
1957,t,f,f,f,t,4
1957,t,f,f,t,,53902
1957,t,f,t,f,f,3
1957,t,f,t,t,,10
1958,f,f,f,f,f,16131
1958,f,f,f,f,t,20
1958,f,f,f,t,,39092
1958,f,f,t,f,f,11
1958,f,f,t,t,,52
1958,t,f,f,f,f,4946
1958,t,f,f,f,t,2
1958,t,f,f,t,,54241
1958,t,f,t,f,f,1
1958,t,f,t,t,,28
1959,f,f,f,f,f,18010
1959,f,f,f,f,t,30
1959,f,f,f,t,,41103
1959,f,f,t,f,f,10
1959,f,f,t,t,,29
1959,t,f,f,f,f,5742
1959,t,f,f,f,t,4
1959,t,f,f,t,,55666
1959,t,f,t,f,f,3
1959,t,f,t,t,,22
1960,f,f,f,f,f,19763
1960,f,f,f,f,t,26
1960,f,f,f,t,,44488
1960,f,f,t,f,f,11
1960,f,f,t,t,,27
1960,t,f,f,f,f,6021
1960,t,f,f,f,t,2
1960,t,f,f,t,,66228
1960,t,f,t,t,,10
1961,f,f,f,f,f,20838
1961,f,f,f,f,t,16
1961,f,f,f,t,,46171
1961,f,f,t,f,f,6
1961,f,f,t,t,,22
1961,t,f,f,f,f,6962
1961,t,f,f,f,t,7
1961,t,f,f,t,,60638
1961,t,f,t,f,f,2
1961,t,f,t,t,,3
1962,f,f,f,f,f,22346
1962,f,f,f,f,t,32
1962,f,f,f,t,,48770
1962,f,f,t,f,f,5
1962,f,f,t,t,,27
1962,t,f,f,f,f,7755
1962,t,f,f,f,t,3
1962,t,f,f,t,,63725
1962,t,f,t,f,f,3
1962,t,f,t,t,,4
1963,f,f,f,f,f,24388
1963,f,f,f,f,t,32
1963,f,f,f,t,,52963
1963,f,f,t,f,f,11
1963,f,f,t,t,,32
1963,t,f,f,f,f,8146
1963,t,f,f,f,t,5
1963,t,f,f,t,,69541
1963,t,f,t,t,,9
1964,f,f,f,f,f,25109
1964,f,f,f,f,t,45
1964,f,f,f,t,,58166
1964,f,f,t,f,f,8
1964,f,f,t,t,,36
1964,t,f,f,f,f,6582
1964,t,f,f,f,t,7
1964,t,f,f,t,,78760
1964,t,f,t,f,f,1
1964,t,f,t,t,,14
1965,f,f,f,f,f,27124
1965,f,f,f,f,t,28
1965,f,f,f,t,,62850
1965,f,f,t,f,f,4
1965,f,f,t,t,,15
1965,t,f,f,f,f,7142
1965,t,f,f,f,t,8
1965,t,f,f,t,,88195
1965,t,f,t,t,,18
1966,f,f,f,f,f,30007
1966,f,f,f,f,t,37
1966,f,f,f,t,,66065
1966,f,f,t,f,f,14
1966,f,f,t,t,,27
1966,t,f,f,f,f,7825
1966,t,f,f,f,t,10
1966,t,f,f,t,,92388
1966,t,f,t,t,,6
1967,f,f,f,f,f,32117
1967,f,f,f,f,t,47
1967,f,f,f,t,,70937
1967,f,f,t,f,f,9
1967,f,f,t,t,,30
1967,t,f,f,f,f,8446
1967,t,f,f,f,t,19
1967,t,f,f,t,,99387
1968,f,f,f,f,f,35129
1968,f,f,f,f,t,47
1968,f,f,f,t,,73965
1968,f,f,t,f,f,14
1968,f,f,t,t,,37
1968,t,f,f,f,f,9151
1968,t,f,f,f,t,24
1968,t,f,f,t,,108104
1969,f,f,f,f,f,39936
1969,f,f,f,f,t,41
1969,f,f,f,t,,75914
1969,f,f,t,f,f,9
1969,f,f,t,t,,61
1969,t,f,f,f,f,10214
1969,t,f,f,f,t,31
1969,t,f,f,t,,115140
1970,f,f,f,f,f,46674
1970,f,f,f,f,t,67
1970,f,f,f,t,,87387
1970,f,f,t,f,f,17
1970,f,f,t,t,,48
1970,t,f,f,f,f,12137
1970,t,f,f,f,t,36
1970,t,f,f,t,,132883
1971,f,f,f,f,f,43647
1971,f,f,f,f,t,75
1971,f,f,f,t,,87772
1971,f,f,t,f,f,25
1971,f,f,t,t,,38
1971,t,f,f,f,f,12148
1971,t,f,f,f,t,25
1971,t,f,f,t,,117262
1971,t,f,t,t,,1
1972,f,f,f,f,f,46642
1972,f,f,f,f,t,54
1972,f,f,f,t,,93285
1972,f,f,t,f,f,12
1972,f,f,t,t,,37
1972,t,f,f,f,f,14535
1972,t,f,f,f,t,28
1972,t,f,f,t,,117170
1972,t,f,t,f,f,1
1972,t,f,t,t,,1
1973,f,f,f,f,f,49011
1973,f,f,f,f,t,61
1973,f,f,f,t,,95887
1973,f,f,t,f,f,11
1973,f,f,t,t,,32
1973,t,f,f,f,f,16583
1973,t,f,f,f,t,28
1973,t,f,f,t,,118161
1973,t,f,t,t,,1
1974,f,f,f,f,f,51066
1974,f,f,f,f,t,73
1974,f,f,f,t,,98447
1974,f,f,t,f,f,14
1974,f,f,t,t,,44
1974,t,f,f,f,f,16527
1974,t,f,f,f,t,25
1974,t,f,f,t,,122973
1975,f,f,f,f,f,55689
1975,f,f,f,f,t,70
1975,f,f,f,t,,98279
1975,f,f,t,f,f,19
1975,f,f,t,t,,58
1975,t,f,f,f,f,31191
1975,t,f,f,f,t,40
1975,t,f,f,t,,114956
1975,t,f,t,f,f,1
1975,t,f,t,t,,2
1976,f,f,f,f,f,59214
1976,f,f,f,f,t,73
1976,f,f,f,t,,99870
1976,f,f,t,f,f,14
1976,f,f,t,t,,53
1976,t,f,f,f,f,34228
1976,t,f,f,f,t,27
1976,t,f,f,t,,112973
1976,t,f,t,t,,4
1977,f,f,f,f,f,62446
1977,f,f,f,f,t,92
1977,f,f,f,t,,103760
1977,f,f,t,f,f,6
1977,f,f,t,t,,52
1977,t,f,f,f,f,34985
1977,t,f,f,f,t,27
1977,t,f,f,t,,116792
1977,t,f,t,f,f,1
1978,f,f,f,f,f,65833
1978,f,f,f,f,t,68
1978,f,f,f,t,,110968
1978,f,f,t,f,f,7
1978,f,f,t,t,,43
1978,t,f,f,f,f,36596
1978,t,f,f,f,t,35
1978,t,f,f,t,,121243
1978,t,f,t,t,,2
1979,f,f,f,f,f,68448
1979,f,f,f,f,t,60
1979,f,f,f,t,,112968
1979,f,f,t,f,f,15
1979,f,f,t,t,,60
1979,t,f,f,f,f,39661
1979,t,f,f,f,t,32
1979,t,f,f,t,,125374
1979,t,f,t,f,f,1
1979,t,f,t,t,,13
1980,f,f,f,f,f,72669
1980,f,f,f,f,t,121
1980,f,f,f,t,,119338
1980,f,f,t,f,f,16
1980,f,f,t,t,,38
1980,t,f,f,f,f,41841
1980,t,f,f,f,t,23
1980,t,f,f,t,,148156
1980,t,f,t,f,f,1
1980,t,f,t,t,,5
1981,f,f,f,f,f,75733
1981,f,f,f,f,t,91
1981,f,f,f,t,,126218
1981,f,f,t,f,f,11
1981,f,f,t,t,,68
1981,t,f,f,f,f,41927
1981,t,f,f,f,t,26
1981,t,f,f,t,,131590
1981,t,f,t,t,,8
1982,f,f,f,f,f,77986
1982,f,f,f,f,t,81
1982,f,f,f,t,,127216
1982,f,f,t,f,f,17
1982,f,f,t,t,,72
1982,t,f,f,f,f,43174
1982,t,f,f,f,t,28
1982,t,f,f,t,,136716
1982,t,f,t,t,,3
1983,f,f,f,f,f,84334
1983,f,f,f,f,t,105
1983,f,f,f,t,,131735
1983,f,f,t,f,f,24
1983,f,f,t,t,,60
1983,t,f,f,f,f,49717
1983,t,f,f,f,t,25
1983,t,f,f,t,,139536
1983,t,f,t,f,f,3
1983,t,f,t,t,,7
1984,f,f,f,f,f,90751
1984,f,f,f,f,t,93
1984,f,f,f,t,,139264
1984,f,f,t,f,f,31
1984,f,f,t,t,,86
1984,t,f,f,f,f,54741
1984,t,f,f,f,t,37
1984,t,f,f,t,,142801
1984,t,f,t,t,,13
1985,f,f,f,f,f,95492
1985,f,f,f,f,t,128
1985,f,f,f,t,,141657
1985,f,f,t,f,f,17
1985,f,f,t,t,,77
1985,t,f,f,f,f,57613
1985,t,f,f,f,t,37
1985,t,f,f,t,,148378
1985,t,f,t,t,,10
1986,f,f,f,f,f,100273
1986,f,f,f,f,t,91
1986,f,f,f,t,,148825
1986,f,f,t,f,f,28
1986,f,f,t,t,,65
1986,t,f,f,f,f,59870
1986,t,f,f,f,t,33
1986,t,f,f,t,,158773
1986,t,f,t,t,,11
1987,f,f,f,f,f,106829
1987,f,f,f,f,t,136
1987,f,f,f,t,,158173
1987,f,f,t,f,f,20
1987,f,f,t,t,,74
1987,t,f,f,f,f,64293
1987,t,f,f,f,t,44
1987,t,f,f,t,,165866
1987,t,f,t,f,f,1
1987,t,f,t,t,,10
1988,f,f,f,f,f,116864
1988,f,f,f,f,t,152
1988,f,f,f,t,,165117
1988,f,f,t,f,f,24
1988,f,f,t,t,,92
1988,t,f,f,f,f,66731
1988,t,f,f,f,t,67
1988,t,f,f,t,,172750
1988,t,f,t,f,f,2
1988,t,f,t,t,,5
1989,f,f,f,f,f,125756
1989,f,f,f,f,t,207
1989,f,f,f,t,,170469
1989,f,f,t,f,f,47
1989,f,f,t,t,,91
1989,t,f,f,f,f,89272
1989,t,f,f,f,t,89
1989,t,f,f,t,,166057
1989,t,f,t,f,f,2
1989,t,f,t,t,,5
1990,f,f,f,f,f,134244
1990,f,f,f,f,t,202
1990,f,f,f,t,,178807
1990,f,f,t,f,f,41
1990,f,f,t,t,,113
1990,t,f,f,f,f,94108
1990,t,f,f,f,t,91
1990,t,f,f,t,,196390
1990,t,f,t,f,f,2
1990,t,f,t,t,,3
1991,f,f,f,f,f,140342
1991,f,f,f,f,t,158
1991,f,f,f,t,,186739
1991,f,f,t,f,f,40
1991,f,f,t,t,,127
1991,t,f,f,f,f,92459
1991,t,f,f,f,t,85
1991,t,f,f,t,,185619
1991,t,f,t,f,f,2
1991,t,f,t,t,,11
1992,f,f,f,f,f,148229
1992,f,f,f,f,t,196
1992,f,f,f,t,,190059
1992,f,f,t,f,f,34
1992,f,f,t,f,t,1
1992,f,f,t,t,,144
1992,t,f,f,f,f,99144
1992,t,f,f,f,t,95
1992,t,f,f,t,,193039
1992,t,f,t,f,f,1
1992,t,f,t,t,,9
1993,f,f,f,f,f,165177
1993,f,f,f,f,t,221
1993,f,f,f,t,,185996
1993,f,f,t,f,f,34
1993,f,f,t,t,,144
1993,t,f,f,f,f,107821
1993,t,f,f,f,t,69
1993,t,f,f,t,,202825
1993,t,f,t,f,f,1
1993,t,f,t,t,,4
1994,f,f,f,f,f,171503
1994,f,f,f,f,t,220
1994,f,f,f,t,,195546
1994,f,f,t,f,f,22
1994,f,f,t,t,,89
1994,t,f,f,f,f,119555
1994,t,f,f,f,t,94
1994,t,f,f,t,,211322
1994,t,f,t,f,f,6
1994,t,f,t,t,,8
1995,f,f,f,f,f,180155
1995,f,f,f,f,t,173
1995,f,f,f,t,,205746
1995,f,f,t,f,f,35
1995,f,f,t,t,,115
1995,t,f,f,f,f,129674
1995,t,f,f,f,t,101
1995,t,f,f,t,,220530
1995,t,f,t,f,f,3
1995,t,f,t,t,,5
1996,f,f,f,f,f,193918
1996,f,f,f,f,t,225
1996,f,f,f,t,,209945
1996,f,f,t,f,f,31
1996,f,f,t,t,,121
1996,t,f,f,f,f,137104
1996,t,f,f,f,t,108
1996,t,f,f,t,,246972
1996,t,f,t,f,f,5
1996,t,f,t,t,,4
1997,f,f,f,f,f,200802
1997,f,f,f,f,t,198
1997,f,f,f,t,,223914
1997,f,f,t,f,f,34
1997,f,f,t,t,,138
1997,t,f,f,f,f,143110
1997,t,f,f,f,t,119
1997,t,f,f,t,,269704
1997,t,f,t,f,f,3
1997,t,f,t,t,,6
1998,f,f,f,f,f,210972
1998,f,f,f,f,t,218
1998,f,f,f,t,,231928
1998,f,f,t,f,f,36
1998,f,f,t,t,,207
1998,t,f,f,f,f,158189
1998,t,f,f,f,t,169
1998,t,f,f,t,,293202
1998,t,f,t,f,f,2
1998,t,f,t,t,,15
1999,f,f,f,f,f,223130
1999,f,f,f,f,t,157
1999,f,f,f,t,,229765
1999,f,f,t,f,f,35
1999,f,f,t,t,,208
1999,t,f,f,f,f,181703
1999,t,f,f,f,t,209
1999,t,f,f,t,,309092
1999,t,f,t,f,f,5
1999,t,f,t,t,,7
2000,f,f,f,f,f,249132
2000,f,f,f,f,t,348
2000,f,f,f,t,,249341
2000,f,f,t,f,f,67
2000,f,f,t,t,,376
2000,t,f,f,f,f,229030
2000,t,f,f,f,t,224
2000,t,f,f,t,,344267
2000,t,f,t,f,f,4
2000,t,f,t,t,,8
2001,f,f,f,f,f,262258
2001,f,f,f,f,t,229
2001,f,f,f,t,,253475
2001,f,f,t,f,f,85
2001,f,f,t,t,,240
2001,t,f,f,f,f,273749
2001,t,f,f,f,t,246
2001,t,f,f,t,,344235
2001,t,f,t,f,f,5
2001,t,f,t,t,,8
2002,f,f,f,f,f,279396
2002,f,f,f,f,t,217
2002,f,f,f,t,,261508
2002,f,f,t,f,f,67
2002,f,f,t,t,,277
2002,t,f,f,f,f,317315
2002,t,f,f,f,t,321
2002,t,f,f,t,,370312
2002,t,f,t,f,f,4
2002,t,f,t,t,,12
2003,f,f,f,f,f,291997
2003,f,f,f,f,t,216
2003,f,f,f,t,,289379
2003,f,f,t,f,f,56
2003,f,f,t,t,,302
2003,t,f,f,f,f,364119
2003,t,f,f,f,t,281
2003,t,f,f,t,,389298
2003,t,f,t,f,f,4
2003,t,f,t,t,,11
2004,f,f,f,f,f,319984
2004,f,f,f,f,t,202
2004,f,f,f,t,,462963
2004,f,f,t,f,f,62
2004,f,f,t,t,,290
2004,t,f,f,f,f,423959
2004,t,f,f,f,t,250
2004,t,f,f,t,,409685
2004,t,f,t,f,f,7
2004,t,f,t,t,,14
2005,f,f,f,f,f,354264
2005,f,f,f,f,t,249
2005,f,f,f,t,,451553
2005,f,f,t,f,f,78
2005,f,f,t,t,,352
2005,t,f,f,f,f,482242
2005,t,f,f,f,t,322
2005,t,f,f,t,,430769
2005,t,f,t,f,f,20
2005,t,f,t,t,,5
2006,f,f,f,f,f,385201
2006,f,f,f,f,t,205
2006,f,f,f,t,,389431
2006,f,f,t,f,f,88
2006,f,f,t,f,t,3
2006,f,f,t,t,,343
2006,t,f,f,f,f,542404
2006,t,f,f,f,t,346
2006,t,f,f,t,,450923
2006,t,f,t,f,f,9
2006,t,f,t,t,,15
2007,f,f,f,f,f,414117
2007,f,f,f,f,t,218
2007,f,f,f,t,,419480
2007,f,f,t,f,f,72
2007,f,f,t,t,,252
2007,t,f,f,f,f,599452
2007,t,f,f,f,t,490
2007,t,f,f,t,,476872
2007,t,f,t,f,f,13
2007,t,f,t,t,,7
2008,f,f,f,f,f,457201
2008,f,f,f,f,t,179
2008,f,f,f,t,,445094
2008,f,f,t,f,f,86
2008,f,f,t,t,,209
2008,t,f,f,f,f,647382
2008,t,f,f,f,t,483
2008,t,f,f,t,,510519
2008,t,f,t,f,f,10
2008,t,f,t,t,,10
2009,f,f,f,f,f,489786
2009,f,f,f,f,t,218
2009,f,f,f,t,,467864
2009,f,f,t,f,f,95
2009,f,f,t,f,t,1
2009,f,f,t,t,,260
2009,t,f,f,f,f,699308
2009,t,f,f,f,t,529
2009,t,f,f,t,,543914
2009,t,f,t,f,f,10
2009,t,f,t,t,,12
2010,f,f,f,f,f,536907
2010,f,f,f,f,t,349
2010,f,f,f,t,,484356
2010,f,f,t,f,f,130
2010,f,f,t,t,,256
2010,t,f,f,f,f,766359
2010,t,f,f,f,t,591
2010,t,f,f,t,,566787
2010,t,f,t,f,f,6
2010,t,f,t,t,,6
2011,f,f,f,f,f,585145
2011,f,f,f,f,t,827
2011,f,f,f,t,,510220
2011,f,f,t,f,f,118
2011,f,f,t,t,,237
2011,t,f,f,f,f,826738
2011,t,f,f,f,t,701
2011,t,f,f,t,,582547
2011,t,f,t,f,f,17
2011,t,f,t,t,,15
2012,f,f,f,f,f,633061
2012,f,f,f,f,t,242
2012,f,f,f,t,,545206
2012,f,f,t,f,f,108
2012,f,f,t,t,,187
2012,t,f,f,f,f,842922
2012,t,f,f,f,t,825
2012,t,f,f,t,,596105
2012,t,f,t,f,f,9
2012,t,f,t,t,,8
2013,f,f,f,f,f,677516
2013,f,f,f,f,t,265
2013,f,f,f,t,,589017
2013,f,f,t,f,f,129
2013,f,f,t,f,t,1
2013,f,f,t,t,,216
2013,t,f,f,f,f,870330
2013,t,f,f,f,t,748
2013,t,f,f,t,,610457
2013,t,f,t,f,f,12
2013,t,f,t,t,,9
2014,f,f,f,f,f,724311
2014,f,f,f,f,t,246
2014,f,f,f,t,,615670
2014,f,f,t,f,f,124
2014,f,f,t,t,,217
2014,t,f,f,f,f,847858
2014,t,f,f,f,t,801
2014,t,f,f,t,,629582
2014,t,f,t,f,f,9
2014,t,f,t,t,,12
2015,f,f,f,f,f,748645
2015,f,f,f,f,t,275
2015,f,f,f,t,,652061
2015,f,f,t,f,f,115
2015,f,f,t,t,,230
2015,t,f,f,f,f,829669
2015,t,f,f,f,t,848
2015,t,f,f,t,,657795
2015,t,f,t,f,f,16
2015,t,f,t,t,,12
2016,f,f,f,f,f,790261
2016,f,f,f,f,t,319
2016,f,f,f,t,,717110
2016,f,f,t,f,f,123
2016,f,f,t,f,t,1
2016,f,f,t,t,,280
2016,t,f,f,f,f,702557
2016,t,f,f,f,t,890
2016,t,f,f,t,,696031
2016,t,f,t,f,f,5
2016,t,f,t,t,,4
2017,f,f,f,f,f,825267
2017,f,f,f,f,t,343
2017,f,f,f,t,,798372
2017,f,f,t,f,f,246
2017,f,f,t,t,,1250
2017,t,f,f,f,f,559471
2017,t,f,f,f,t,846
2017,t,f,f,t,,547188
2017,t,f,t,f,f,4
2017,t,f,t,t,,3
2018,f,f,f,f,f,930143
2018,f,f,f,f,t,2173
2018,f,f,f,t,,961977
2018,f,f,t,f,f,372
2018,f,f,t,f,t,9
2018,f,f,t,t,,3770
2018,t,f,f,f,f,460383
2018,t,f,f,f,t,687
2018,t,f,f,t,,397421
2018,t,f,t,f,f,4
2018,t,f,t,t,,5
2019,f,f,f,f,f,1064979
2019,f,f,f,f,t,3422
2019,f,f,f,t,,1137686
2019,f,f,t,f,f,487
2019,f,f,t,f,t,24
2019,f,f,t,t,,11445
2019,t,f,f,f,f,386105
2019,t,f,f,f,t,580
2019,t,f,f,t,,319370
2019,t,f,t,f,f,8
2019,t,f,t,t,,7
2020,f,f,f,f,f,1193919
2020,f,f,f,f,t,3326
2020,f,f,f,t,,1286397
2020,f,f,t,f,f,684
2020,f,f,t,f,t,17
2020,f,f,t,t,,12871
2020,t,f,f,f,f,223773
2020,t,f,f,f,t,280
2020,t,f,f,t,,153017
2020,t,f,t,f,f,6
2020,t,f,t,t,,1
2021,f,f,f,f,f,1173713
2021,f,f,f,f,t,4088
2021,f,f,f,t,,1106387
2021,f,f,t,f,f,364
2021,f,f,t,f,t,20
2021,f,f,t,t,,6254
2021,t,f,f,f,f,95966
2021,t,f,f,f,t,108
2021,t,f,f,t,,13194
2021,t,f,t,f,f,1
2021,t,f,t,t,,1
2022,f,f,f,f,f,349123
2022,f,f,f,f,t,1247
2022,f,f,f,t,,384935
2022,f,f,t,f,f,72
2022,f,f,t,f,t,6
2022,f,f,t,t,,1291
2022,t,f,f,f,f,30195
2022,t,f,f,f,t,34
2022,t,f,f,t,,2832
,f,f,f,f,f,114438
,f,f,f,f,t,343
,f,f,f,t,,676941
,f,f,t,f,f,326
,f,f,t,f,t,3
,f,f,t,t,,2610
,t,f,f,f,f,116305
,t,f,f,f,t,189
,t,f,f,t,,354288
,t,f,t,f,f,13
,t,f,t,f,t,1
,t,f,t,t,,27
,t,t,,t,,1
(888 rows)
